Num;ID;Energy_kcal;Protein_g;Fat_g;Carb_g;Sugar_g;Fiber_g;VitA_mcg;VitB6_mg;VitB12_mcg;VitC_mg;VitE_mg;Folate_mcg;Niacin_mg;Riboflavin_mg;Thiamin_mg;Calcium_mg;Copper_mcg;Iron_mg;Magnesium_mg;Manganese_mg;Phosphorus_mg;Selenium_mcg;Zinc_mg;VitA_USRDA;VitB6_USRDA;VitB12_USRDA;VitC_USRDA;VitE_USRDA;Folate_USRDA;Niacin_USRDA;Riboflavin_USRDA;Thiamin_USRDA;Calcium_USRDA;Copper_USRDA;Magnesium_USRDA;Phosphorus_USRDA;Selenium_USRDA;Zinc_USRDA
8218;35162;122;22.63;3.37;0;0;0;94;0.351;7.05;0;0.69;4;7.15;0.962;0.442;5;0.27;4.1;26;0.037;230;12.5;2.1;0.104444444444444;0.206470588235294;29.375;0;0.046;0.01;0.446875;0.74;0.368333333333333;0.00416666666666667;3,00E-04;0.0619047619047619;0.328571428571429;0.227272727272727;0.190909090909091
7080;23032;124;21.96;3.24;0;0;0;0;0.622;2.87;0;0.17;7;5.76;0.204;0.08;5;0.098;2.38;25;0.011;219;31.3;5.74;0;0.365882352941176;119.583.333.333.333;0;0.0113333333333333;0.0175;0.36;0.156923076923077;0.0666666666666667;0.00416666666666667;0.000108888888888889;0.0595238095238095;0.312857142857143;0.569090909090909;0.521818181818182
2104;8641;376;10.16;7.46;71.57;17.66;8.3;0;0.98;0.03;0.1;0.64;0;9.085;0.617;1.447;246;0;12.13;103;0;359;0;2.3;0;0.576470588235294;0.0125;0.00111111111111111;0.0426666666666667;0;0.5678125;0.474615384615385;120.583.333.333.333;0.205;0;0.245238095238095;0.512857142857143;0;0.209090909090909
4835;16123;53;8.14;0.57;4.93;0.4;0.8;0;0.148;0;0;0;14;2.196;0.165;0.033;33;0.043;1.45;74;1.018;166;0.5;0.87;0;0.0870588235294118;0;0;0;0.035;0.13725;0.126923076923077;0.0275;0.0275;4,78E+09;0.176190476190476;0.237142857142857;0.00909090909090909;0.0790909090909091
351;3093;29;1.2;0.2;5.7;1.06;1.3;24;0.03;0;1.7;0.31;32;0.23;0.04;0.02;27;0.03;0.4;19;0.08;22;0.4;0.1;0.0266666666666667;0.0176470588235294;0;0.0188888888888889;0.0206666666666667;0.08;0.014375;0.0307692307692308;0.0166666666666667;0.0225;3,33E+09;0.0452380952380952;0.0314285714285714;0.00727272727272727;0.00909090909090909
1184;6003;40;2.38;1.59;4.76;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6828;21337;640;28.04;52.91;16.23;4.15;0;0;0.728;0;0;8.24;0;16.5;0.111;0.075;46;0.408;1.45;193;2;364;0;2.78;0;0.428235294117647;0;0;0.549333333333333;0;103.125;0.0853846153846154;0.0625;0.0383333333333333;0.000453333333333333;0.45952380952381;0.52;0;0.252727272727273
5426;17348;152;31.47;1.92;0;0;0;0;0.71;2.27;0;0.64;10;8.4;0.5;0.25;4;0.272;4.23;30;0.018;272;11.3;3.67;0;0.417647058823529;0.945833333333333;0;0.0426666666666667;0.025;0.525;0.384615384615385;0.208333333333333;0.00333333333333333;0.000302222222222222;0.0714285714285714;0.388571428571429;0.205454545454545;0.333636363636364
8287;36009;121;5.03;3.45;17.4;1.65;1;25;0.034;0.12;0;1.2;0;0.617;0.207;0.083;89;0.068;0.53;14;0.135;131;17.3;0.58;0.0277777777777778;0.02;0.05;0;0.08;0;0.0385625;0.159230769230769;0.0691666666666667;0.0741666666666667;7,56E+09;0.0333333333333333;0.187142857142857;0.314545454545455;0.0527272727272727
1675;7202;200;11.75;14.5;5.6;2.3;0;0;0;0;0;0;13;0;0;0;13;0.21;1.22;14;0;178;0;1.91;0;0;0;0;0;0.0325;0;0;0;0.0108333333333333;0.000233333333333333;0.0333333333333333;0.254285714285714;0;0.173636363636364
4885;16215;44;2.9;1.6;4.5;2;0.4;0;0;0.39;0;0;0;0;0.15;0.06;127;0;0.4;16;0;0;0;0.37;0;0;0.1625;0;0;0;0;0.115384615384615;0.05;0.105833333333333;0;0.0380952380952381;0;0;0.0336363636363636
4808;16095;563;25.19;48.75;16.54;3.95;8.5;0;0.346;0;0;6.56;239;12.375;0.131;0.653;89;1.112;2.55;171;1.696;380;7.1;4.43;0;0.203529411764706;0;0;0.437333333333333;0.5975;0.7734375;0.100769230769231;0.544166666666667;0.0741666666666667;0.00123555555555556;0.407142857142857;0.542857142857143;0.129090909090909;0.402727272727273
1844;8046;396;6;2.9;87.1;32.3;3.1;678;1.6;4.7;0;0.17;518;15.6;1.3;1.2;11;0.1;8.4;45;0;131;10.3;4.7;0.753333333333333;0.941176470588235;195.833.333.333.333;0;0.0113333333333333;1.295;0.975;1;1;0.00916666666666667;0.000111111111111111;0.107142857142857;0.187142857142857;0.187272727272727;0.427272727272727
